Customer ID,Age,Gender,Total_Purchases,Total_Spent,Avg_Order_Value,Total_Items,Total_Returns,Avg_Return_Rate,First_Purchase,Last_Purchase,Churn,Customer_Lifetime_Days,Days_Since_Last_Purchase
1,70,Male,1,3491,3491.0,5,1.0,1.0,2023-07-19,2023-07-19,0,0,58
3,23,Female,8,22587,2823.375,23,3.0,0.42857142857142855,2020-09-27,2023-06-18,0,994,89
5,26,Female,8,12524,1565.5,33,4.0,0.6666666666666666,2020-01-28,2023-03-28,0,1155,171
6,24,Female,6,15517,2586.1666666666665,11,0.0,0.0,2020-01-19,2022-06-09,1,872,463
12,33,Male,6,15378,2563.0,11,1.0,0.16666666666666666,2020-07-31,2022-12-10,0,862,279
13,54,Female,4,7244,1811.0,12,4.0,1.0,2021-01-27,2023-06-18,0,872,89
16,50,Male,5,15246,3049.2,16,1.0,0.25,2020-05-27,2023-04-21,1,1059,147
19,63,Male,5,8809,1761.8,16,3.0,0.75,2021-05-16,2023-05-13,1,727,125
20,62,Male,8,21428,2678.5,25,4.0,0.6666666666666666,2020-01-09,2023-02-11,0,1129,216
22,61,Male,9,32052,3561.3333333333335,30,4.0,0.5,2020-03-04,2023-08-25,0,1269,21
26,36,Male,6,19699,3283.1666666666665,20,4.0,0.6666666666666666,2020-01-26,2022-07-10,1,896,432
27,61,Male,3,12260,4086.6666666666665,9,0.0,0.0,2021-05-08,2023-05-14,1,736,124
28,70,Male,6,10217,1702.8333333333333,17,1.0,0.25,2021-06-06,2023-04-30,0,693,138
31,23,Female,4,9404,2351.0,12,1.0,0.3333333333333333,2020-01-01,2023-07-16,0,1292,61
34,41,Male,2,3345,1672.5,8,1.0,0.5,2020-09-28,2021-01-17,0,111,971
40,56,Female,2,5188,2594.0,6,0.0,0.0,2020-08-07,2022-05-25,0,656,478
44,51,Male,5,16375,3275.0,22,3.0,0.6,2020-04-18,2023-02-01,0,1019,226
47,43,Female,3,10807,3602.3333333333335,8,1.0,0.3333333333333333,2020-04-29,2022-10-14,0,898,336
48,43,Female,5,17172,3434.4,15,2.0,0.5,2020-07-01,2022-06-16,1,715,456
52,24,Female,2,5280,2640.0,7,0.0,0.0,2020-09-03,2022-06-24,0,659,448
53,37,Male,2,4833,2416.5,8,0.0,0.0,2022-05-27,2022-11-19,0,176,300
54,40,Female,5,17813,3562.6,15,2.0,0.6666666666666666,2021-02-24,2023-01-06,0,681,252
57,23,Female,3,6606,2202.0,8,1.0,0.5,2020-04-25,2022-04-26,0,731,507
65,51,Female,6,14844,2474.0,18,3.0,0.6,2020-05-23,2023-04-02,0,1044,166
76,49,Female,4,5934,1483.5,12,1.0,0.3333333333333333,2020-08-15,2023-06-03,0,1022,104
78,23,Female,5,13720,2744.0,18,3.0,0.75,2020-02-23,2023-04-11,0,1143,157
81,18,Male,8,26059,3257.375,26,1.0,0.14285714285714285,2021-05-03,2022-09-22,1,507,358
85,31,Female,6,13092,2182.0,23,2.0,0.5,2020-01-30,2022-12-27,0,1062,262
86,40,Male,6,16526,2754.3333333333335,21,1.0,0.2,2020-01-26,2023-07-03,0,1254,74
91,21,Female,7,18782,2683.1428571428573,22,4.0,0.6666666666666666,2020-04-08,2023-09-14,0,1254,1
92,43,Female,5,14002,2800.4,16,3.0,0.6,2020-05-16,2023-07-01,0,1141,76
93,49,Male,4,6174,1543.5,14,2.0,0.5,2020-05-31,2022-11-03,0,886,316
94,60,Male,6,15746,2624.3333333333335,14,2.0,0.5,2020-06-11,2023-07-02,1,1116,75
96,63,Female,6,21417,3569.5,17,3.0,0.5,2020-03-19,2023-06-17,0,1185,90
101,65,Female,5,8932,1786.4,15,1.0,0.2,2020-04-18,2023-02-25,1,1043,202
103,20,Female,6,15288,2548.0,23,2.0,0.5,2020-03-17,2022-05-16,0,790,487
108,32,Female,6,19997,3332.8333333333335,20,1.0,0.25,2022-05-17,2023-09-05,0,476,10
111,26,Male,5,16366,3273.2,9,2.0,0.4,2020-02-24,2022-10-26,0,975,324
115,25,Male,5,10746,2149.2,21,2.0,0.6666666666666666,2020-07-15,2020-12-31,0,169,988
120,41,Male,5,12304,2460.8,18,2.0,0.5,2020-04-29,2022-11-22,0,937,297
122,41,Male,7,16164,2309.1428571428573,20,4.0,0.5714285714285714,2020-12-09,2023-04-17,0,859,151
126,56,Male,2,7596,3798.0,10,1.0,1.0,2020-09-06,2022-12-29,0,844,260
128,35,Male,8,20798,2599.75,25,2.0,0.2857142857142857,2020-01-02,2023-05-01,0,1215,137
132,20,Female,6,16192,2698.6666666666665,24,2.0,0.3333333333333333,2020-01-25,2022-12-24,0,1064,265
133,42,Male,3,9589,3196.3333333333335,5,2.0,0.6666666666666666,2020-04-02,2023-08-20,1,1235,26
137,45,Female,3,9580,3193.3333333333335,13,1.0,0.3333333333333333,2021-06-21,2023-02-15,0,604,212
139,59,Female,3,5736,1912.0,11,1.0,0.5,2020-04-20,2023-02-16,0,1032,211
140,46,Female,4,14314,3578.5,13,1.0,0.3333333333333333,2021-08-22,2023-07-14,0,691,63
142,31,Female,3,10435,3478.3333333333335,13,2.0,0.6666666666666666,2020-11-12,2023-05-31,0,930,107
146,52,Female,4,14791,3697.75,12,2.0,0.5,2021-04-30,2022-12-05,0,584,284
148,64,Female,6,15591,2598.5,22,2.0,0.5,2020-03-16,2023-02-25,1,1076,202
152,47,Female,4,10468,2617.0,14,1.0,0.3333333333333333,2020-08-04,2023-07-21,0,1081,56
155,29,Female,5,12642,2528.4,17,1.0,0.25,2021-04-03,2023-04-01,0,728,167
157,50,Male,3,6157,2052.3333333333335,7,,,2021-02-27,2023-08-06,0,890,40
159,24,Female,4,12853,3213.25,15,3.0,0.75,2021-11-20,2023-08-06,0,624,40
163,69,Female,5,15047,3009.4,16,1.0,0.25,2020-11-02,2023-02-13,0,833,214
164,37,Female,8,29989,3748.625,19,4.0,0.6666666666666666,2021-02-23,2023-07-21,1,878,56
168,49,Female,7,14442,2063.1428571428573,24,1.0,0.3333333333333333,2021-07-12,2023-02-15,1,583,212
169,49,Male,3,3803,1267.6666666666667,12,0.0,0.0,2020-02-16,2023-02-19,0,1099,208
177,20,Female,3,9008,3002.6666666666665,8,1.0,0.3333333333333333,2020-06-11,2023-03-11,0,1003,188
178,49,Female,5,10246,2049.2,13,3.0,0.75,2020-08-12,2023-01-17,0,888,241
182,61,Female,5,16849,3369.8,15,3.0,1.0,2020-08-10,2023-06-01,1,1025,106
183,52,Male,9,18355,2039.4444444444443,23,6.0,1.0,2020-02-04,2023-03-14,0,1134,185
185,70,Female,5,18565,3713.0,16,2.0,0.4,2020-07-17,2023-09-02,1,1142,13
190,65,Female,7,21718,3102.5714285714284,25,4.0,0.6666666666666666,2020-02-28,2023-03-18,0,1114,181
191,36,Male,3,7322,2440.6666666666665,12,1.0,0.5,2021-02-11,2023-05-12,0,820,126
192,48,Male,4,15844,3961.0,14,0.0,0.0,2020-01-18,2022-05-01,1,834,502
193,68,Male,2,2732,1366.0,3,0.0,0.0,2020-11-09,2022-09-20,1,680,360
205,51,Male,3,7931,2643.6666666666665,6,1.0,0.3333333333333333,2021-08-04,2022-10-23,0,445,327
206,64,Female,9,33113,3679.222222222222,28,5.0,0.625,2020-09-28,2023-06-17,1,992,90
209,45,Female,4,9495,2373.75,11,0.0,0.0,2020-02-14,2023-06-21,0,1223,86
210,34,Female,3,10271,3423.6666666666665,9,1.0,0.5,2021-12-23,2023-02-22,0,426,205
211,27,Female,4,7402,1850.5,12,1.0,0.3333333333333333,2020-12-01,2022-03-20,0,474,544
212,42,Male,3,9094,3031.3333333333335,6,0.0,0.0,2020-10-29,2023-06-18,0,962,89
218,23,Male,3,10551,3517.0,12,2.0,0.6666666666666666,2020-02-19,2023-03-14,0,1119,185
222,47,Female,1,1858,1858.0,2,,,2020-07-06,2020-07-06,0,0,1166
223,23,Female,7,12526,1789.4285714285713,25,0.0,0.0,2020-01-01,2023-06-06,0,1252,101
224,41,Male,3,7708,2569.3333333333335,4,1.0,0.3333333333333333,2020-07-13,2022-02-18,0,585,574
225,44,Female,9,27373,3041.4444444444443,28,2.0,0.2857142857142857,2020-05-31,2023-03-30,0,1033,169
230,27,Male,3,3628,1209.3333333333333,4,2.0,0.6666666666666666,2021-09-21,2023-03-27,0,552,172
232,24,Male,2,8430,4215.0,7,1.0,0.5,2021-08-23,2022-07-13,1,324,429
233,36,Female,4,9134,2283.5,10,1.0,0.25,2020-07-10,2022-04-29,0,658,504
235,20,Male,5,16282,3256.4,17,1.0,0.25,2020-02-15,2021-05-09,0,449,859
236,23,Male,7,18070,2581.4285714285716,22,0.0,0.0,2020-09-22,2023-06-15,0,996,92
243,30,Male,7,19425,2775.0,23,4.0,0.8,2020-06-26,2023-08-28,1,1158,18
246,33,Female,7,16653,2379.0,15,3.0,0.5,2020-07-25,2023-02-14,0,934,213
250,21,Male,6,16159,2693.1666666666665,16,3.0,0.5,2020-02-11,2023-05-30,0,1204,108
251,62,Female,3,8748,2916.0,5,1.0,0.5,2021-01-07,2023-01-10,1,733,248
253,26,Female,7,24519,3502.714285714286,22,5.0,0.8333333333333334,2020-04-21,2023-06-09,1,1144,98
255,23,Female,10,20773,2077.3,22,6.0,0.6666666666666666,2020-08-26,2023-07-23,0,1061,54
258,47,Male,2,9824,4912.0,6,1.0,0.5,2021-03-20,2023-02-19,1,701,208
259,41,Male,1,1567,1567.0,4,1.0,1.0,2022-03-09,2022-03-09,1,0,555
266,51,Male,4,11073,2768.25,13,1.0,0.3333333333333333,2021-07-29,2023-07-10,0,711,67
268,40,Male,3,10427,3475.6666666666665,9,0.0,0.0,2021-05-26,2022-12-09,0,562,280
271,51,Male,2,6146,3073.0,5,1.0,0.5,2020-10-23,2021-09-10,0,322,735
274,57,Female,5,16900,3380.0,15,2.0,0.4,2020-10-21,2023-08-28,0,1041,18
279,66,Male,3,8499,2833.0,10,0.0,0.0,2021-08-26,2023-04-06,1,588,162
280,60,Male,1,4478,4478.0,2,,,2022-06-12,2022-06-12,1,0,460
283,27,Female,3,12177,4059.0,7,2.0,1.0,2021-10-22,2023-03-17,0,511,182
285,62,Male,6,16150,2691.6666666666665,14,2.0,0.6666666666666666,2020-05-03,2022-07-15,1,803,427
291,25,Male,3,11249,3749.6666666666665,12,2.0,0.6666666666666666,2021-11-03,2023-09-14,1,680,1
292,21,Male,2,7094,3547.0,7,1.0,0.5,2021-09-02,2022-08-01,0,333,410
295,60,Male,9,27737,3081.8888888888887,18,3.0,0.5,2020-12-13,2023-03-01,1,808,198
296,21,Female,7,20804,2972.0,25,3.0,0.42857142857142855,2021-01-29,2023-05-05,1,826,133
297,37,Female,4,13950,3487.5,7,3.0,0.75,2022-04-01,2023-08-27,0,513,19
300,55,Female,6,19977,3329.5,15,2.0,0.4,2020-04-24,2023-05-04,0,1105,134
305,69,Female,5,6997,1399.4,19,1.0,0.25,2020-01-29,2022-12-31,0,1067,258
306,64,Male,2,3317,1658.5,5,1.0,0.5,2021-03-24,2023-03-01,0,707,198
308,62,Male,7,14780,2111.4285714285716,17,3.0,0.5,2020-04-28,2023-08-25,0,1214,21
319,49,Male,10,23082,2308.2,37,5.0,0.7142857142857143,2021-01-22,2023-08-08,1,928,38
321,20,Female,5,18387,3677.4,16,3.0,0.75,2020-02-20,2023-05-01,1,1166,137
322,30,Male,7,11270,1610.0,21,3.0,0.75,2020-02-15,2023-07-08,0,1239,69
325,38,Female,5,14095,2819.0,14,3.0,0.6,2020-05-31,2022-08-27,1,818,384
328,19,Male,5,16634,3326.8,18,2.0,1.0,2020-07-28,2023-03-27,0,972,172
329,19,Male,5,10534,2106.8,6,0.0,0.0,2020-04-07,2023-06-01,0,1150,106
330,66,Female,3,5267,1755.6666666666667,10,1.0,0.5,2020-02-19,2022-11-16,0,1001,303
332,52,Male,4,11945,2986.25,16,3.0,0.75,2020-01-09,2022-05-12,1,854,491
333,55,Female,2,6123,3061.5,4,1.0,0.5,2021-07-17,2021-07-20,0,3,787
336,27,Female,1,2057,2057.0,2,1.0,1.0,2020-10-15,2020-10-15,0,0,1065
339,27,Female,3,9834,3278.0,10,2.0,1.0,2021-05-09,2023-04-25,0,716,143
340,36,Male,7,24638,3519.714285714286,13,4.0,0.8,2020-07-17,2023-08-06,0,1115,40
346,49,Male,7,16157,2308.1428571428573,23,3.0,0.5,2021-02-18,2023-07-14,0,876,63
348,32,Male,3,4142,1380.6666666666667,13,3.0,1.0,2022-01-15,2023-03-11,0,420,188
350,28,Female,8,22382,2797.75,27,3.0,0.42857142857142855,2020-07-20,2023-05-03,0,1017,135
353,47,Female,4,15781,3945.25,13,2.0,0.6666666666666666,2020-02-27,2023-02-14,0,1083,213
355,40,Male,4,14575,3643.75,11,0.0,0.0,2021-09-18,2023-06-23,0,643,84
359,70,Male,2,5195,2597.5,10,0.0,0.0,2021-08-17,2023-08-08,0,721,38
360,34,Female,3,11966,3988.6666666666665,10,1.0,0.3333333333333333,2022-06-01,2023-08-17,0,442,29
362,49,Female,6,6593,1098.8333333333333,18,2.0,0.6666666666666666,2020-04-15,2022-12-09,0,968,280
363,69,Female,8,27299,3412.375,17,5.0,0.625,2020-03-01,2023-04-01,0,1126,167
367,45,Female,5,9377,1875.4,9,4.0,1.0,2020-07-07,2023-07-13,0,1101,64
368,26,Male,8,28667,3583.375,27,2.0,0.2857142857142857,2020-05-20,2023-09-01,0,1199,14
372,55,Female,7,21589,3084.1428571428573,26,3.0,0.6,2020-03-12,2023-02-17,0,1072,210
375,47,Female,7,16251,2321.5714285714284,13,2.0,0.5,2020-04-27,2023-02-08,1,1017,219
377,26,Male,1,1574,1574.0,4,0.0,0.0,2022-07-20,2022-07-20,1,0,422
384,39,Male,6,14644,2440.6666666666665,19,3.0,0.5,2020-01-18,2023-03-15,0,1152,184
385,30,Male,13,19146,1472.7692307692307,41,2.0,0.25,2020-06-27,2023-06-11,0,1079,96
386,37,Female,4,6495,1623.75,10,1.0,1.0,2020-04-25,2022-06-26,1,792,446
388,31,Female,6,21151,3525.1666666666665,20,3.0,0.6,2021-01-18,2022-11-28,0,679,291
392,53,Male,3,8802,2934.0,9,2.0,0.6666666666666666,2020-06-20,2023-05-31,0,1075,107
397,18,Male,3,4972,1657.3333333333333,7,1.0,0.3333333333333333,2021-08-26,2023-07-01,1,674,76
402,50,Female,6,14420,2403.3333333333335,9,1.0,0.2,2020-03-15,2023-09-14,0,1278,1
406,70,Female,6,7333,1222.1666666666667,19,0.0,0.0,2020-01-22,2021-06-04,0,499,833
409,47,Female,6,9498,1583.0,16,3.0,0.6,2020-02-06,2023-08-08,0,1279,38
412,41,Male,5,6921,1384.2,15,1.0,0.25,2021-01-30,2023-02-22,0,753,205
415,56,Female,7,19376,2768.0,24,4.0,0.5714285714285714,2020-02-14,2023-07-28,0,1260,49
416,30,Female,7,14965,2137.8571428571427,24,4.0,0.8,2020-05-02,2023-06-18,0,1142,89
417,22,Male,6,18992,3165.3333333333335,17,1.0,0.3333333333333333,2020-09-22,2023-01-01,0,831,257
