Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Customer_Segment
6336,296,5,11338,5,4,3,Loyal Customers
13285,70,5,17121,5,4,4,Champions
29719,435,7,15462,1,5,4,Cannot Lose Them
44822,472,8,16245,1,5,4,Cannot Lose Them
35689,67,5,12595,5,4,3,Loyal Customers
31528,100,5,13050,5,4,3,Loyal Customers
29228,30,7,13191,5,5,3,Loyal Customers
20735,295,7,16706,5,5,4,Champions
49331,21,9,24025,5,5,5,Champions
36131,20,10,24499,5,5,5,Champions
46952,449,5,16710,1,4,4,Cannot Lose Them
2142,89,6,9074,5,4,2,New Customers
37146,292,4,14186,5,3,3,Loyal Customers
12799,234,3,7397,5,2,1,New Customers
833,186,5,13457,5,4,3,Loyal Customers
29894,234,6,12247,5,4,3,Loyal Customers
8389,108,8,21271,5,5,5,Champions
26425,28,9,31939,5,5,5,Champions
2366,404,5,16898,5,4,4,Champions
18800,509,2,2780,1,1,1,Lost
46266,328,5,13686,5,4,3,Loyal Customers
35071,54,7,12461,5,5,3,Loyal Customers
19553,396,5,13754,5,4,3,Loyal Customers
11317,247,4,9789,5,3,2,New Customers
27760,370,3,4406,5,2,1,New Customers
31236,5,11,25155,5,5,5,Champions
30903,14,5,16628,5,4,4,Champions
35351,16,3,5866,5,2,1,New Customers
13289,147,4,16282,5,3,4,Loyal Customers
15619,45,9,27550,5,5,5,Champions
7833,428,8,18615,1,5,4,Cannot Lose Them
33602,194,5,14589,5,4,3,Loyal Customers
44437,57,3,6278,5,2,1,New Customers
41409,115,6,17050,5,4,4,Champions
48510,541,5,14861,1,4,4,Cannot Lose Them
17753,173,9,23881,5,5,5,Champions
42834,209,5,14559,5,4,3,Loyal Customers
9465,955,2,7103,1,1,1,Lost
4900,677,4,8296,1,3,2,Others
43527,928,4,10845,1,3,2,Others
18654,861,2,6454,1,1,1,Lost
22373,268,7,19111,5,5,4,Champions
33722,19,3,8649,5,2,2,New Customers
42635,57,8,20540,5,5,5,Champions
4519,366,4,9728,5,3,2,New Customers
18051,181,7,23081,5,5,5,Champions
40653,60,3,2192,5,2,1,New Customers
40335,313,3,3092,5,2,1,New Customers
4101,68,5,9841,5,4,2,New Customers
9427,164,6,15483,5,4,4,Champions
40515,100,4,7160,5,3,1,New Customers
7754,239,7,27957,5,5,5,Champions
26708,141,4,9952,5,3,2,New Customers
43690,165,6,19576,5,4,5,Champions
23136,780,3,7058,1,2,1,Lost
37482,42,5,18156,5,4,4,Champions
1460,290,5,7467,5,4,1,New Customers
26699,52,7,22904,5,5,5,Champions
37669,196,8,15897,5,5,4,Champions
4929,53,5,10157,5,4,2,New Customers
19886,74,8,22799,5,5,5,Champions
40021,386,2,7044,5,1,1,New Customers
13261,9,11,34352,5,5,5,Champions
5614,220,8,19481,5,5,5,Champions
9564,134,6,13325,5,4,3,Loyal Customers
29058,249,5,13147,5,4,3,Loyal Customers
26544,70,6,14611,5,4,3,Loyal Customers
46448,1,7,24302,5,5,5,Champions
37015,362,7,18068,5,5,4,Champions
10462,295,6,17511,5,4,4,Champions
19758,194,4,12293,5,3,3,Loyal Customers
8803,81,5,7738,5,4,2,New Customers
2563,19,6,15807,5,4,4,Champions
10081,102,7,20755,5,5,5,Champions
16916,543,6,14594,1,4,3,Cannot Lose Them
10121,26,10,22367,5,5,5,Champions
43921,456,4,14259,1,3,3,Others
23607,327,3,11093,5,2,2,New Customers
623,244,9,27963,5,5,5,Champions
47935,20,6,18453,5,4,4,Champions
47211,69,5,13373,5,4,3,Loyal Customers
40439,54,4,10341,5,3,2,New Customers
26767,255,2,6999,5,1,1,New Customers
12367,352,12,29590,5,5,5,Champions
37480,76,8,23172,5,5,5,Champions
25638,225,5,13795,5,4,3,Loyal Customers
37818,434,5,12553,1,4,3,Cannot Lose Them
13601,58,6,13824,5,4,3,Loyal Customers
37006,950,6,14524,1,4,3,Cannot Lose Them
6482,315,8,21534,5,5,5,Champions
3488,36,6,8086,5,4,2,New Customers
20120,164,4,10595,5,3,2,New Customers
25203,54,6,17071,5,4,4,Champions
2776,129,7,25589,5,5,5,Champions
18221,3,6,19674,5,4,5,Champions
48035,90,7,19969,5,5,5,Champions
8222,44,5,16290,5,4,4,Champions
4391,290,9,21514,5,5,5,Champions
32680,5,4,8492,5,3,2,New Customers
6622,226,6,14931,5,4,4,Champions
42102,110,7,20173,5,5,5,Champions
27709,82,4,7318,5,3,1,New Customers
2821,212,4,12501,5,3,3,Loyal Customers
22951,44,4,8135,5,3,2,New Customers
1139,8,6,18585,5,4,4,Champions
32648,10,8,20385,5,5,5,Champions
25106,54,7,14078,5,5,3,Loyal Customers
40631,1,13,30176,5,5,5,Champions
20467,8,10,31048,5,5,5,Champions
11025,510,7,26104,1,5,5,Cannot Lose Them
34602,130,7,12450,5,5,3,Loyal Customers
16680,127,3,6192,5,2,1,New Customers
20506,74,11,32298,5,5,5,Champions
45054,160,6,9686,5,4,2,New Customers
41696,166,9,26313,5,5,5,Champions
32871,127,6,17640,5,4,4,Champions
27266,255,3,6792,5,2,1,New Customers
39433,210,6,21337,5,4,5,Champions
9162,556,4,8088,1,3,2,Others
38152,28,4,13591,5,3,3,Loyal Customers
5117,239,1,1625,5,1,1,New Customers
41085,30,5,16756,5,4,4,Champions
45621,135,4,7306,5,3,1,New Customers
23193,1301,1,5060,1,1,1,Lost
5308,430,5,15122,1,4,4,Cannot Lose Them
47013,114,7,19005,5,5,4,Champions
32291,15,5,14171,5,4,3,Loyal Customers
42754,172,5,18121,5,4,4,Champions
1975,261,7,23146,5,5,5,Champions
2259,95,6,17502,5,4,4,Champions
26736,725,3,8741,1,2,2,Lost
11146,682,5,7847,1,4,2,Cannot Lose Them
40677,643,4,11582,1,3,3,Others
44623,94,9,25554,5,5,5,Champions
44595,79,4,11932,5,3,3,Loyal Customers
30632,151,8,24332,5,5,5,Champions
31161,728,7,12622,1,5,3,Cannot Lose Them
27466,205,5,6961,5,4,1,New Customers
39827,429,4,11738,1,3,3,Others
